X (miles),Y (miles)
-1089.9083781588895,-4288.432490134441
-1089.9083781588895,-4288.432490134441
-1089.9083781588895,-4288.432490134441
-1088.8054737611278,-4269.709911289205
-1088.8054737611278,-4269.709911289205
-1088.8054737611278,-4269.709911289205
-1100.9199465386512,-4245.480577387538
-1105.3253505837936,-4246.583481785298
-1103.12342525446,-4236.671711030347
-1093.211654499508,-4232.266306985203
-1098.7180212093174,-4219.050483196394
-1098.7180212093174,-4203.631957385015
-1100.9199465386512,-4194.821537641348
-1108.629403617651,-4199.226553339872
-1116.3384723500315,-4210.23967510611
-1126.2506314516024,-4215.746430162538
-1133.9597001839832,-4228.962253951347
-1138.3651042291258,-4219.050483196394
-1136.163178899792,-4208.037361430157
-1142.7712849675058,-4208.037361430157
-1152.6830557224578,-4215.746430162538
-1157.0884597676004,-4212.4416004354425
-1155.9855553698387,-4205.833882714348
-1144.9720452569818,-4197.023074624063
-1135.0602745020299,-4192.618058925539
-1136.1631788997915,-4181.604548812684
-1142.7712849675052,-4169.490076035159
-1148.2776516773147,-4173.895480080303
-1151.5824814044095,-4180.503197801398
-1152.685385802171,-4184.9086018465405
-1163.6985075684088,-4179.401846790113
-1168.1039116135514,-4167.287374012589
-1180.2183843910746,-4157.3756032576375
-1173.6106666699793,-4138.653024412401
-1165.9012095909795,-4125.437200623593
-1158.1921408585988,-4113.322727846068
-1158.1921408585988,-4113.322727846068
-1158.1921408585988,-4113.322727846068
-1155.9902155292652,-4104.511919755783
-1155.9902155292652,-4104.511919755783
-1155.9902155292652,-4104.511919755783
-1142.774391740456,-4106.713845085115
-1142.774391740456,-4106.713845085115
-1142.774391740456,-4106.713845085115
-1132.862232638885,-4099.004776352735
-1132.862232638885,-4099.004776352735
-1132.862232638885,-4099.004776352735
-1142.774391740456,-4082.484899530069
-1142.774391740456,-4082.484899530069
-1142.774391740456,-4082.484899530069
-1131.760881627599,-4062.6609696735463
-1131.760881627599,-4062.6609696735463
-1131.760881627599,-4062.6609696735463
-1130.6579772298376,-4051.6478479073085
-1130.6579772298376,-4051.6478479073085
-1130.6579772298376,-4051.6478479073085
-1131.760881627599,-4031.8239180507853
-1146.0784447743126,-4021.912147295834
-1149.3832745014074,-4008.696323507025
-1150.4861788991689,-3999.8855154167404
-1152.6881042285027,-3985.5683406166454
-1152.6881042285027,-3985.5683406166454
-1152.6881042285027,-3985.5683406166454
-1159.295821949598,-3976.7579208729794
-1159.295821949598,-3976.7579208729794
-1159.295821949598,-3976.7579208729794
-1153.7894552397886,-3960.2380440503134
-1153.7894552397886,-3960.2380440503134
-1153.7894552397886,-3960.2380440503134
-1159.295821949598,-3951.4272359600286
-1159.295821949598,-3951.4272359600286
-1159.295821949598,-3951.4272359600286
-1154.8908062510745,-3929.400992427553
-1154.8908062510745,-3929.400992427553
-1154.8908062510745,-3929.400992427553
-1146.0803865074079,-3919.4888333259823
-1146.0803865074079,-3919.4888333259823
-1146.0803865074079,-3919.4888333259823
-1143.8784611780743,-3912.881115604887
-1151.5875299104548,-3901.86760549203
-1141.6757591555029,-3887.550430691935
-1132.8649510652178,-3872.1319048805544
-1124.0545313215512,-3864.422836148174
-1124.0545313215512,-3864.422836148174
-1124.0545313215512,-3864.422836148174
-1122.9516269237897,-3857.8147300804594
-1122.9516269237897,-3857.8147300804594
-1122.9516269237897,-3857.8147300804594
-1114.1408188335047,-3837.9908002239367
-1097.6213303574573,-3840.1927255532705
-1097.6213303574573,-3840.1927255532705
-1097.6213303574573,-3840.1927255532705
-1088.8105222671722,-3834.6863588434617
-1088.8105222671722,-3834.6863588434617
-1088.8105222671722,-3834.6863588434617
-1074.493347467078,-3821.470146708034
-1064.5815767121258,-3810.457024941796
-1059.0748216556974,-3824.774199741891
-1055.7699919286026,-3839.091374541986
-1038.148764094651,-3849.0035336435567
-1038.148764094651,-3849.0035336435567
-1038.148764094651,-3849.0035336435567
-1026.0342913171278,-3855.6112513646517
-1026.0342913171278,-3855.6112513646517
-1026.0342913171278,-3855.6112513646517
-1005.1090104493189,-3857.8131766939855
-977.5760118604154,-3857.8131766939855
-1008.4130634831762,-3865.5226337729855
-1008.4130634831762,-3865.5226337729855
-1008.4130634831762,-3865.5226337729855
-1015.0211695508899,-3873.231702505366
-1015.0211695508899,-3873.231702505366
-1015.0211695508899,-3873.231702505366
-996.2985907056524,-3885.3461752828894
-978.6773628717007,-3882.041345555794
-974.2719588265581,-3886.4463612543173
-959.9547840264637,-3890.85176529946
-945.6376092263692,-3909.5743441446975
-941.2325935278457,-3918.3847638883635
-925.8140677164653,-3921.6895936154588
-924.7111633187037,-3939.310821449411
-924.7111633187037,-3939.310821449411
-924.7111633187037,-3939.310821449411
-904.8872334621808,-3948.121241193077
-904.8872334621808,-3948.121241193077
-904.8872334621808,-3948.121241193077
-891.6714096733717,-3966.843820038315
-885.0633036056573,-3966.843820038315
-883.9603992078958,-3976.755979139885
-883.9603992078958,-3976.755979139885
-883.9603992078958,-3976.755979139885
-872.9472774416579,-3983.3636968609803
-872.9472774416579,-3983.3636968609803
-872.9472774416579,-3983.3636968609803
-864.1368576979919,-3984.466601258742
-869.6432244078007,-3995.4797230249787
-872.948054134896,-4003.1891801039774
-856.4281773122302,-4005.39110543331
-856.4281773122302,-4005.39110543331
-856.4281773122302,-4005.39110543331
-849.820459591135,-4010.89747214312
-849.820459591135,-4010.89747214312
-849.820459591135,-4010.89747214312
-852.0223849204687,-4027.4173489657855
-823.3880353202798,-4034.0254550335
-790.3482816749482,-4045.0385767997377
-812.3749135540429,-4049.4439808448815
-839.9079121429465,-4058.254400588549
-856.4277889656123,-4053.8493848900252
-863.0358950333267,-4063.7611556449765
-863.0358950333267,-4063.7611556449765
-863.0358950333267,-4063.7611556449765
-847.6173692219463,-4072.571575388644
-847.6173692219463,-4072.571575388644
-847.6173692219463,-4072.571575388644
-836.6038591090894,-4079.179681456358
-836.6038591090894,-4079.179681456358
-836.6038591090894,-4079.179681456358
-835.5009547113278,-4102.3072760001205
-835.5009547113278,-4102.3072760001205
-835.5009547113278,-4102.3072760001205
-837.7028800406615,-4110.016733079119
-837.7028800406615,-4110.016733079119
-837.7028800406615,-4110.016733079119
-820.0816522067094,-4114.422137124263
-832.1965133308515,-4134.245678634167
-838.8042310519469,-4167.285432279499
-838.8042310519469,-4167.285432279499
-838.8042310519469,-4167.285432279499
-834.3988270068044,-4184.906660113451
-834.3988270068044,-4184.906660113451
-834.3988270068044,-4184.906660113451
-839.9055820632323,-4214.642360724925
-847.6150391422319,-4223.453168815211
-826.6897582744236,-4221.251243485878
-826.6897582744236,-4221.251243485878
-826.6897582744236,-4221.251243485878
-824.48783294509,-4233.365716263403
-824.48783294509,-4233.365716263403
-824.48783294509,-4233.365716263403
-818.9810778886621,-4242.1761360070695
-818.9810778886621,-4242.1761360070695
-818.9810778886621,-4242.1761360070695
-798.0561853674728,-4246.581540052213
-798.0561853674728,-4246.581540052213
-798.0561853674728,-4246.581540052213
-783.7390105673778,-4242.1761360070695
-794.7521323336156,-4255.392348142498
-794.7521323336156,-4255.392348142498
-794.7521323336156,-4255.392348142498
-810.1706581449961,-4257.594273471831
-810.1706581449961,-4257.594273471831
-810.1706581449961,-4257.594273471831
-814.5760621901386,-4271.911836618544
-815.6789665879002,-4273.010857550116
-816.7818709856617,-4279.618963617831
-809.072413906662,-4299.442893474353
-813.4778179518046,-4314.861419285732
-802.4643078389477,-4321.469525353446
-790.3498350614244,-4325.8745410519705
-776.0326602613294,-4314.861419285732
-766.1208895063769,-4301.645595496924
-748.4996616724246,-4297.24019145178
-757.3100814160907,-4309.354664229305
-757.3100814160907,-4309.354664229305
-757.3100814160907,-4309.354664229305
-762.8168364725186,-4317.064121308304
-762.8168364725186,-4317.064121308304
-762.8168364725186,-4317.064121308304
-762.8168364725186,-4335.78670015354
-766.1216661996139,-4343.496157232538
-762.8168364725186,-4352.306188629585
-760.6149111431849,-4371.029155821442
-755.1085444333761,-4389.75134632006
-755.1085444333761,-4389.75134632006
-755.1085444333761,-4389.75134632006
-748.5004383656617,-4400.7648564329165
-748.5004383656617,-4400.7648564329165
-748.5004383656617,-4400.7648564329165
-731.9805615429959,-4417.2839565623435
-731.9805615429959,-4417.2839565623435
-731.9805615429959,-4417.2839565623435
-722.0687907880434,-4408.474313511915
-722.0687907880434,-4408.474313511915
-722.0687907880434,-4408.474313511915
-716.5620357316155,-4387.548255950867
-695.6367548638073,-4383.143240252344
-679.1168780411415,-4364.421438100343
-667.0024052636182,-4361.116608373248
-674.711862342618,-4373.230692804153
-682.4209310749986,-4387.547867604248
-686.8263351201413,-4397.460026705819
-682.4209310749986,-4406.270834796103
-682.4209310749986,-4406.270834796103
-682.4209310749986,-4406.270834796103
-663.6987405763801,-4426.094376306009
-663.6987405763801,-4426.094376306009
-663.6987405763801,-4426.094376306009
-657.0906345086657,-4440.411551106104
-653.7858047815705,-4448.121008185102
-644.9753850379045,-4461.336831973911
-642.7734597085707,-4478.958448154481
-641.6705553108092,-4487.769256244766
-625.1506784881434,-4506.491446743385
-609.732152676763,-4502.0864310448615
-609.732152676763,-4502.0864310448615
-609.732152676763,-4502.0864310448615
-597.6176798992399,-4493.275622954576
-597.6176798992399,-4493.275622954576
-597.6176798992399,-4493.275622954576
-588.8068718089547,-4475.654006774006
-588.8068718089547,-4450.324098554293
-588.8068718089547,-4450.324098554293
-588.8068718089547,-4450.324098554293
-583.3005050991459,-4443.715992486579
-583.3005050991459,-4443.715992486579
-583.3005050991459,-4443.715992486579
-572.286994986289,-4433.803833385007
-572.286994986289,-4449.222359196387
-570.0850696569553,-4462.438182985195
-540.3489806988608,-4470.147640064194
-523.8294922228141,-4462.438182985195
-512.8159821099572,-4462.438182985195
-508.4105780648147,-4450.324098554291
-496.2961052872914,-4452.526023883624
-480.87757947591103,-4444.816566804625
-476.4721754307685,-4427.196115663911
-476.4721754307685,-4427.196115663911
-476.4721754307685,-4427.196115663911
-481.9789304871964,-4419.486658584912
-481.9789304871964,-4419.486658584912
-481.9789304871964,-4419.486658584912
-498.4988073098622,-4417.284733255579
-501.80363703695747,-4402.967558455484
-508.41135475805277,-4390.8534740245805
-517.2221628483378,-4375.434948213201
-517.2221628483378,-4360.016034055202
-517.2221628483378,-4360.016034055202
-517.2221628483378,-4360.016034055202
-502.9049880482428,-4356.711204328107
-502.9049880482428,-4356.711204328107
-502.9049880482428,-4356.711204328107
-490.7905152707196,-4342.394029528012
-490.7905152707196,-4342.394029528012
-490.7905152707196,-4342.394029528012
-500.7022860256721,-4322.56932297825
-500.7022860256721,-4322.56932297825
-500.7022860256721,-4322.56932297825
-506.2090410821,-4303.847132479632
-506.2090410821,-4279.618186924586
-512.8167588031953,-4264.199661113206
-512.8167588031953,-4264.199661113206
-512.8167588031953,-4264.199661113206
-512.8167588031953,-4247.679784290541
-512.8167588031953,-4247.679784290541
-512.8167588031953,-4247.679784290541
-502.9049880482428,-4217.944083679066
-495.19553096924307,-4235.565311513018
-478.6756541465773,-4243.274380245399
-463.2571283351969,-4249.882486313113
-453.34535758024447,-4267.503714147066
-453.34535758024447,-4267.503714147066
-453.34535758024447,-4267.503714147066
-444.5349378365784,-4271.9091181922095
-444.5349378365784,-4271.9091181922095
-444.5349378365784,-4271.9091181922095
-435.72412974629333,-4267.503714147066
-435.72412974629333,-4267.503714147066
-435.72412974629333,-4267.503714147066
-412.59653520253227,-4253.186539346971
-431.3187257011508,-4275.212782879446
-431.3187257011508,-4275.212782879446
-431.3187257011508,-4275.212782879446
-425.81235899134197,-4279.61818692459
-425.81235899134197,-4279.61818692459
-425.81235899134197,-4279.61818692459
-392.77260534601044,-4291.732659702115
-392.77260534601044,-4291.732659702115
-392.77260534601044,-4291.732659702115
-382.86044624443997,-4285.12494198102
-382.86044624443997,-4285.12494198102
-382.86044624443997,-4285.12494198102
-352.0237829682983,-4278.516835913306
-359.7328517006789,-4292.834010713401
-356.42802197358367,-4300.5434677923995
-336.6040921170607,-4301.64637219016
-336.6040921170607,-4301.64637219016
-336.6040921170607,-4301.64637219016
-318.98325262972753,-4310.456791933827
-318.98325262972753,-4310.456791933827
-318.98325262972753,-4310.456791933827
-299.1593227732046,-4315.963546990255
-290.3489030295386,-4315.963546990255
-271.626324184301,-4324.773966733922
-271.626324184301,-4324.773966733922
-271.626324184301,-4324.773966733922
-269.4243988549673,-4333.584774824207
-269.4243988549673,-4333.584774824207
-269.4243988549673,-4333.584774824207
-257.30992607744406,-4335.78670015354
-240.79004925477832,-4358.913906350682
-217.6620663643982,-4384.244979610253
-191.23041878677998,-4410.676238841252
-191.23041878677998,-4410.676238841252
-191.23041878677998,-4410.676238841252
-174.7105419641142,-4416.182605551062
-174.7105419641142,-4416.182605551062
-174.7105419641142,-4416.182605551062
-153.78526109630593,-4412.877775823967
-153.78526109630593,-4412.877775823967
-153.78526109630593,-4412.877775823967
-133.961331239783,-4410.675850494634
-151.5825590737352,-4386.447293286205
-132.8603685751167,-4396.358675694539
-114.13778972987912,-4409.574499483348
-114.13778972987912,-4409.574499483348
-114.13778972987912,-4409.574499483348
-104.22601897492662,-4412.879329210443
-104.22601897492662,-4412.879329210443
-104.22601897492662,-4412.879329210443
-86.6047911409744,-4410.67740388111
-57.97005319416639,-4432.704035760204
-42.551527382786,-4441.514843850488
-42.551527382786,-4441.514843850488
-42.551527382786,-4441.514843850488
-27.13338991802466,-4443.716769179821
-27.13338991802466,-4443.716769179821
-27.13338991802466,-4443.716769179821
-12.81582677131057,-4447.021598906917
-35.943809661690686,-4454.730667639297
-39.248639388785975,-4469.04823078601
-22.72876256612022,-4480.061740898866
-27.134166611262764,-4491.074474318484
-27.134166611262764,-4491.074474318484
-27.134166611262764,-4491.074474318484
-28.237071009024337,-4503.188947096009
-28.237071009024337,-4503.188947096009
-28.237071009024337,-4503.188947096009
-2.906774442691451,-4506.493776823104
-6.21160416978674,-4525.215578975104
-6.21160416978674,-4525.215578975104
-6.21160416978674,-4525.215578975104
3.700554931783702,-4546.140859842913
3.700554931783702,-4546.140859842913
3.700554931783702,-4546.140859842913
16.916378720592274,-4552.749742603866
16.916378720592274,-4552.749742603866
16.916378720592274,-4552.749742603866
14.714453391258557,-4563.762476023484
14.714453391258557,-4563.762476023484
14.714453391258557,-4563.762476023484
24.626224146211047,-4575.876560454388
24.626224146211047,-4575.876560454388
24.626224146211047,-4575.876560454388
34.53838324778149,-4589.092384243197
34.53838324778149,-4589.092384243197
34.53838324778149,-4589.092384243197
47.75420703659006,-4596.801841322195
47.75420703659006,-4596.801841322195
47.75420703659006,-4596.801841322195
64.27408385925581,-4602.308984725243
86.30032739173151,-4597.9031923334815
86.30032739173151,-4597.9031923334815
86.30032739173151,-4597.9031923334815
113.83371432725417,-4605.61264941248
113.83371432725417,-4605.61264941248
113.83371432725417,-4605.61264941248
86.30032739173151,-4615.524808514052
86.30032739173151,-4615.524808514052
86.30032739173151,-4615.524808514052
79.6926096706362,-4628.74063230286
79.6926096706362,-4628.74063230286
79.6926096706362,-4628.74063230286
96.21248649330195,-4637.551440393146
113.83371432725417,-4634.24661066605
109.42831028211164,-4645.260120778906
140.2653619048724,-4657.37459355643
165.5956584712053,-4651.86822684662
182.11553529387106,-4654.070152175953
212.95258691663184,-4658.475944567715
212.95258691663184,-4658.475944567715
212.95258691663184,-4658.475944567715
236.08056980701195,-4668.387326976048
236.08056980701195,-4668.387326976048
236.08056980701195,-4668.387326976048
248.19504258453517,-4673.894470379096
248.19504258453517,-4673.894470379096
248.19504258453517,-4673.894470379096
263.61356839591554,-4686.00894315662
263.61356839591554,-4686.00894315662
263.61356839591554,-4686.00894315662
275.7280411734388,-4700.326117956715
286.7411629396766,-4709.136926047
301.0583377397717,-4698.123027587524
316.4772518977711,-4710.238277058284
313.1724221706758,-4722.352749835809
330.79365000462803,-4737.771275647188
361.6307016273888,-4770.8106409459015
361.6307016273888,-4770.8106409459015
361.6307016273888,-4770.8106409459015
396.87276894867307,-4791.735533467091
396.87276894867307,-4791.735533467091
396.87276894867307,-4791.735533467091
431.01387360529105,-4797.243065216757
431.01387360529105,-4797.243065216757
431.01387360529105,-4797.243065216757
434.31870333238635,-4807.15405927847
434.31870333238635,-4807.15405927847
434.31870333238635,-4807.15405927847
454.14263318890926,-4815.965255715376
487.1819984876228,-4820.369883067281
487.1819984876228,-4820.369883067281
487.1819984876228,-4820.369883067281
494.89145556662254,-4811.560240016852
494.89145556662254,-4811.560240016852
494.89145556662254,-4811.560240016852
500.39821062305043,-4813.762165346185
500.39821062305043,-4813.762165346185
500.39821062305043,-4813.762165346185
524.6271561780969,-4803.850782937851
524.6271561780969,-4803.850782937851
524.6271561780969,-4803.850782937851
542.2483840120491,-4777.418358666996
529.0325602232405,-4771.911991957186
537.8429799669066,-4764.202534878187
549.9574527444298,-4753.1898014585695
565.3763669024293,-4750.987876129237
578.5921906912378,-4744.379770061522
587.4026104349039,-4732.2656856306185
595.1116791672845,-4732.2656856306185
608.3278913027121,-4724.55622855162
614.9356090238074,-4724.55622855162
614.9356090238074,-4702.529985019144
588.5039614461891,-4703.632889416905
599.517083212427,-4690.4159005882375
602.8219129395223,-4678.301816157334
595.1124558605226,-4678.301816157334
587.403387128142,-4671.694098436239
600.6192109169505,-4662.883290345954
595.1124558605226,-4643.059748836049
601.720561928237,-4639.754919108954
612.7336836944748,-4618.8296382411445
612.7336836944748,-4618.8296382411445
612.7336836944748,-4618.8296382411445
624.848544818617,-4610.019995190715
624.848544818617,-4610.019995190715
624.848544818617,-4610.019995190715
661.1919631511867,-4587.993363311622
661.1919631511867,-4587.993363311622
661.1919631511867,-4587.993363311622
677.7118399738524,-4586.890458913862
694.2317167965182,-4558.256109313672
703.0425248868033,-4565.965178046052
703.0425248868033,-4565.965178046052
703.0425248868033,-4565.965178046052
717.3596996868984,-4560.458034643004
740.4872942306594,-4560.458034643004
752.6017670081826,-4571.47154475586
754.8036923375163,-4545.04028552486
754.8036923375163,-4545.04028552486
754.8036923375163,-4545.04028552486
765.8172024503732,-4527.418669344291
765.8172024503732,-4527.418669344291
765.8172024503732,-4527.418669344291
776.8303242166111,-4499.885670755387
776.8303242166111,-4499.885670755387
776.8303242166111,-4499.885670755387
814.2754819070863,-4476.757687865007
814.2754819070863,-4476.757687865007
814.2754819070863,-4476.757687865007
829.6936193718476,-4464.643603434102
829.6936193718476,-4464.643603434102
829.6936193718476,-4464.643603434102
867.1387770623227,-4437.110604845199
905.6852857640832,-4429.401147766201
905.6852857640832,-4429.401147766201
905.6852857640832,-4429.401147766201
926.6101782852725,-4416.184547284154
926.6101782852725,-4416.184547284154
926.6101782852725,-4416.184547284154
948.6368101643673,-4401.867372484059
948.6368101643673,-4376.5374642643455
964.0553359757477,-4377.640368662106
964.0553359757477,-4377.640368662106
964.0553359757477,-4377.640368662106
994.8923875985084,-4362.221842850727
994.8923875985084,-4362.221842850727
994.8923875985084,-4362.221842850727
1025.729439221269,-4351.207944391252
1025.729439221269,-4351.207944391252
1025.729439221269,-4351.207944391252
1033.4388963002689,-4356.715476140917
1033.4388963002689,-4356.715476140917
1033.4388963002689,-4356.715476140917
1041.1479650326496,-4342.398301340822
1041.1479650326496,-4342.398301340822
1041.1479650326496,-4342.398301340822
1056.5664908440299,-4333.587493250537
1056.5664908440299,-4333.587493250537
1056.5664908440299,-4333.587493250537
1082.9981384216483,-4340.195210971631
1099.518015244314,-4336.890381244536
1116.0378920669798,-4344.599838323535
1124.8487001572648,-4361.120103492821
1140.266837622026,-4357.815273765726
1154.5844007687401,-4347.903114664154
1178.8133463237866,-4328.0795731542485
1193.1305211238816,-4312.660658996249
1227.2716257804996,-4309.355829269154
1245.9942046257372,-4313.761233314298
1271.32450119207,-4319.267600024107
1299.958850792259,-4323.672615722631
1299.958850792259,-4323.672615722631
1299.958850792259,-4323.672615722631
1313.1750629276867,-4319.267600024107
1313.1750629276867,-4319.267600024107
1313.1750629276867,-4319.267600024107
1344.0117262038284,-4318.164695626348
1344.0117262038284,-4318.164695626348
1344.0117262038284,-4318.164695626348
1360.5316030264942,-4329.1785940858235
1364.9370070716368,-4343.495768885919
1375.9501288378744,-4341.293843556586
1392.4700056605402,-4337.98901382949
1399.0781117282547,-4328.078019767777
1393.5713566718268,-4308.253701564636
1386.9636389507314,-4295.037877775828
1414.496637539635,-4267.504879186924
1421.1043552607305,-4224.552966440021
1433.2192163848727,-4247.680949330401
1448.637742196253,-4257.592720085352
1448.637742196253,-4257.592720085352
1448.637742196253,-4257.592720085352
1444.2323381511105,-4241.072843262687
1444.2323381511105,-4241.072843262687
1444.2323381511105,-4241.072843262687
1446.4342634804443,-4221.249301752781
1464.0554913143965,-4235.566476552876
1464.0554913143965,-4235.566476552876
1464.0554913143965,-4235.566476552876
1486.0817348468722,-4233.364551223544
1486.0817348468722,-4233.364551223544
1486.0817348468722,-4233.364551223544
1501.5002606582525,-4232.261646825784
1501.5002606582525,-4232.261646825784
1501.5002606582525,-4232.261646825784
1510.3110687485375,-4217.944472025689
1524.6282435486326,-4204.72864823688
1524.6282435486326,-4204.72864823688
1524.6282435486326,-4204.72864823688
1535.6413653148704,-4190.411473436785
1535.6413653148704,-4190.411473436785
1535.6413653148704,-4190.411473436785
1566.4784169376312,-4190.411473436785
1590.7077508392968,-4205.829999248164
1607.2276276619625,-4204.727094850404
1613.8353453830578,-4211.335200918118
1613.8353453830578,-4211.335200918118
1613.8353453830578,-4211.335200918118
1621.5448024620575,-4213.537126247451
1621.5448024620575,-4213.537126247451
1621.5448024620575,-4213.537126247451
1621.5448024620575,-4193.713584737546
1632.5579242282954,-4200.32130245864
1652.3818540848183,-4189.308180692402
1652.3818540848183,-4189.308180692402
1652.3818540848183,-4189.308180692402
1661.1922738284843,-4176.092356903593
1661.1922738284843,-4176.092356903593
1661.1922738284843,-4176.092356903593
1667.8003798961988,-4116.6209556806425
1663.3949758510562,-4093.4929727902627
1653.4832050961036,-4095.694898119595
1649.0778010509612,-4104.5053178632625
1647.9748966531995,-4087.9854410405965
1647.9748966531995,-4087.9854410405965
1647.9748966531995,-4087.9854410405965
1646.871992255438,-4071.465952564549
1646.871992255438,-4071.465952564549
1646.871992255438,-4071.465952564549
1638.061572511772,-4052.7433737193123
1627.0480623989151,-4051.640469321552
1621.5416956891063,-4035.1205924988863
1611.6295365875358,-4045.0323632538375
1601.7177658325834,-4047.23428858317
1587.4005910324881,-4052.741043639598
1575.286118254965,-4051.6381392418375
1575.286118254965,-4051.6381392418375
1575.286118254965,-4051.6381392418375
1560.968555108251,-4040.6246291289817
1560.968555108251,-4040.6246291289817
1560.968555108251,-4040.6246291289817
1559.8695341766788,-4024.1047523063157
1559.8695341766788,-4017.4970345852216
1542.2483063427267,-4003.1798597851266
1556.5654811428217,-3997.673104728699
1547.7546730525366,-3977.849174872176
1544.4498433254412,-3954.721580328415
1553.2602630691072,-3939.3030545170345
1542.2471413028695,-3923.884528705654
1569.780139891773,-3919.4791246605114
1578.5905596354391,-3922.7839543876066
1597.3131384806766,-3917.277199331179
1613.8330153033423,-3912.8721836326554
1647.9741199599603,-3901.8586735197982
1668.8990124811496,-3913.9735346439406
1692.0269953715297,-3924.9866564101785
1704.141468149053,-3912.8721836326554
1722.8640469942904,-3916.1770133597506
1726.1688767213857,-3905.1638915935127
1729.4737064484812,-3895.25212083856
1745.9931949245279,-3886.4413127482753
1755.9053540260982,-3890.8467167934177
1761.412109082526,-3875.4281909820374
1753.7026520035263,-3866.6177712383715
1744.8922322598603,-3858.9083141593715
1727.2710044259081,-3862.2131438864667
1720.6628983581938,-3856.706388830039
1716.2578826596703,-3857.8092932278005
1710.7511276032424,-3861.1141229548957
1703.0416705242426,-3855.607367898468
1697.5353038144337,-3863.3168249774676
1692.0285487580059,-3857.81006992104
1692.0285487580059,-3857.81006992104
1692.0285487580059,-3857.81006992104
1675.50867193534,-3848.999650177374
1675.50867193534,-3848.999650177374
1675.50867193534,-3848.999650177374
1667.7996032029596,-3846.79772484804
1667.7996032029596,-3846.79772484804
1667.7996032029596,-3846.79772484804
1667.7996032029596,-3858.9121976255633
1652.381077391579,-3844.5950228254683
1636.9625515801988,-3842.3930974961345
1629.253094501199,-3844.5950228254683
1610.5305156559614,-3844.5950228254683
1607.2256859288661,-3839.08826776904
1601.7189308724382,-3843.493671814183
1601.7189308724382,-3843.493671814183
1601.7189308724382,-3843.493671814183
1591.8067717708677,-3844.5965762119445
1591.8067717708677,-3844.5965762119445
1591.8067717708677,-3844.5965762119445
1588.5019420437725,-3823.671295344136
1570.8807142098203,-3807.1514185214705
1570.8807142098203,-3807.1514185214705
1570.8807142098203,-3807.1514185214705
1563.1712571308205,-3789.530579034137
1563.1712571308205,-3789.530579034137
1563.1712571308205,-3789.530579034137
1574.1847672436775,-3776.3143668987095
1574.1847672436775,-3776.3143668987095
1574.1847672436775,-3776.3143668987095
1586.2992400212006,-3780.719770943852
1586.2992400212006,-3780.719770943852
1586.2992400212006,-3780.719770943852
1599.5150638100092,-3765.3012451324716
1608.3254835536752,-3758.6931390647574
1614.9335896213897,-3744.3759642646623
1620.4403446778176,-3744.3759642646623
