Title,ID,GoodReadsTitle,Year,Pages,Rating,RatingsCount,RatingsDist,ISBN,Publisher,URL,IMAGE_URL,SM_IMAGE_URL,Description
Interesting Times,884288,"Interesting Times (Discworld, #17; Rincewind #5)",1994,368,4.14,37682,5:18374|4:17682|3:7848|2:1306|1:552|total:45762,9780061056901,HarperTorch,https://www.goodreads.com/book/show/884288.Interesting_Times,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430881376l/884288._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430881376l/884288._SY75_.jpg,"<i>'A foot on the neck is nine points of the law'</i><br /><br />There are many who say that the art of diplomacy is an intricate and complex dance. There are others who maintain that it's merely a matter of who carries the biggest stick. The oldest and most inscrutable (not to mention heavily fortified) empire on the Discworld is in turmoil, brought about by the revolutionary treatise <b>What I did on My Holidays</b>. Workers are uniting, with nothing to lose but their water buffaloes; warlords are struggling for power - and what the nation wants, to avoid terrible doom for everyone, is a wizard. Rincewind is not the Disc’s premier wizard – in fact, he can’t even spell ‘wizard’ – but no-one specified whether competence was an issue. And they do have a very big stick…<br /><br />Mighty Battles! Revolution! Death! War! (And his sons Terror and Panic and daughter Clancy).<br /><br /><i>Alternate cover edition for <a href=""https://www.goodreads.com/book/show/17426052-interesting-times"" rel=""nofollow noopener"">ISBN 9781407034966</a></i>"
Maskerade,78876,"Maskerade (Discworld, #18; Witches #5)",1995,285,4.07,44747,5:19216|4:21567|3:10836|2:1590|1:514|total:53723,9780575058088,Gollancz,https://www.goodreads.com/book/show/78876.Maskerade,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"The Ghost in the bone-white mask who haunts theAnkh-Morpork Opera House was always considered a benign presence -- some would even say lucky -- until he started killing people. The sudden rash of bizarre backstage deaths now threatens to mar the operatic debut of country girl Perdita X. (nee Agnes) Nitt, she of the ample body and ampler voice.<br /><br />Perdita's expected to hide in the chorus and sing arias out loud while a more petitely presentable soprano mouths the notes. But at least it's an escape from scheming Nanny Ogg and old Granny Weatherwax back home, who want her to join their witchy ranks.<br /><br />Once Granny sets her mind on something, however, it's difficult -- and often hazardous -- to dissuade her. And no opera-prowling phantom fiend is going to keep a pair of determined hags down on the farm after they've seen Ankh-Morpork."
Feet of Clay,34527,"Feet of Clay (Discworld, #19; City Watch, #3)",1996,411,4.27,59344,5:32087|4:27337|3:9554|2:1081|1:455|total:70514,9780552153256,Corgi,https://www.goodreads.com/book/show/34527.Feet_of_Clay,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320490628l/34527._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320490628l/34527._SY75_.jpg,"<i>'Sorry?' said Carrot. If it's just a thing, how can it commit murder? A sword is a thing' - he drew his own sword; it made an almost silken sound - 'and of course you can't blame a sword if someone thrust it at you, sir.'</i><br /><br />For members of the City Watch, life consists of troubling times, linked together by periods of torpid inactivity. Now is one such troubling time. People are being murdered, but there's no trace of anything alive having been at the crime scene. Is there ever a circumstance in which you can blame the weapon not the murderer? Such philosophical questions are not the usual domain of the city's police, but they're going to have to start learning fast..."
Hogfather,6771431,Terry Pratchett's Hogfather: The Illustrated Screenplay,2007,256,4.58,4439,5:3005|4:1069|3:318|2:41|1:14|total:4447,9780575986565,Gollancz,https://www.goodreads.com/book/show/6771431-terry-pratchett-s-hogfather,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"Hogswatchnight is fast approaching, and the Hogfather is missing. But it's vital that all the presents are delivered, otherwise the sun won't rise tomorrow. However, there is another supernatural entity who can be everywhere at once and, most importantly, knows where everybody lives."
Jingo,47990,"Jingo (Discworld, #21; City Watch, #4)",1997,461,4.15,43819,5:21316|4:21260|3:10137|2:1219|1:137|total:54069,9780552154161,Corgi Books,https://www.goodreads.com/book/show/47990.Jingo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327921813l/47990._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327921813l/47990._SY75_.jpg,"<i>'Neighbours... hah. People'd live for ages side by side, nodding at one another amicably on their way to work, and then some trivial thing would happen and someone would be having a garden fork removed from their ear.'</i><br /><br />Throughout history, there's always been a perfectly good reason to start a war. Never more so if it is over a 'strategic' piece of old rock in the middle of nowhere. It is after all every citizen's right to bear arms to defend what they consider to be their own. Even if it isn't. And in such pressing circumstances, you really shouldn't let small details like the absence of an army or indeed the money to finance one get in the way of a righteous fight with all the attendant benefits of out-and-out nationalism..."
The Last Continent,47994,"The Last Continent (Discworld, #22; Rincewind #6)",1998,416,3.98,42820,5:17024|4:19090|3:11569|2:2304|1:685|total:50672,9780552154185,Corgi,https://www.goodreads.com/book/show/47994.The_Last_Continent,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1332672492l/47994._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1332672492l/47994._SY75_.jpg,"<i>'Anything you do in the past changes the future. The tiniest little actions have huge consequences. You might tread on an ant now and it might entirely prevent someone from being born in the future.'</i><br /><br />There's nothing like the issue of evolution to get under the skin of academics. Especially when those same academics are by chance or bad judgement deposited at a critical evolutionary turning point when one wrong move could have catastrophic results for the future. Unfortunately in the hands of such an inept and cussed group of individuals, the sensitive issue of causality is sadly only likely to receive the same scant respect that they show to one another..."
Carpe Jugulum,34541,Carpe Jugulum (Discworld #23; Witches #6),1998,296,4.13,45812,5:21517|4:21201|3:9866|2:1513|1:555|total:54652,9780061051586,Harper Voyager,https://www.goodreads.com/book/show/34541.Carpe_Jugulum,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"In a fit of enlightenment democracy and ebullient goodwill, King Verence invites Uberwald's undead, the Magpyrs, into Lancre to celebrate the birth of his daughter. But once ensconced within the castle, these wine-drinking, garlic-eating, sun-loving modern vampires have no intention of leaving. Ever.<br /><br />Only an uneasy alliance between a nervous young priest and the argumentative local witches can save the country from being taken over by people with a cultivated bloodlust and bad taste in silk waistcoats. For them, there's only one way to fight.<br /><br />Go for the throat, or as the vampyres themselves say...Carpe Jugulum"
The Fifth Elephant,63720,"The Fifth Elephant (Discworld, #24; City Watch, #5)",1999,464,4.25,52303,5:28558|4:23829|3:8862|2:1182|1:523|total:62954,9780552154222,Corgi,https://www.goodreads.com/book/show/63720.The_Fifth_Elephant,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327961702l/63720._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327961702l/63720._SY75_.jpg,"They say that diplomacy is a gentle art. That its finest practitioners are subtle, sophisticated individuals for whom nuance and subtext are meat and drink. And that mastering it is a lifetime's work. But you <i>do</i> need a certain inclination in that direction. It's not something you can just pick up on the job.<br /><br />Which is a shame if you find yourself dropped unaccountably into a position of some significant diplomatic responsibility. If you don't really <i>do</i> diplomacy or haven't been to school with the right foreign bigwigs or aren't even sure whether a nod is as good as a wink to anyone, sighted or otherwise, then things are likely to go wrong. It's just a question of how badly..."
The Truth,34498,"The Truth (Discworld, #25; Industrial Revolution, #2)",2000,336,4.24,48261,5:25552|4:21758|3:7896|2:1084|1:529|total:56819,9780413771162,Bloomsbury Methuen Drama,https://www.goodreads.com/book/show/34498.The_Truth,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"There's been a murder. Allegedly. William de Worde is the Discworld's first investigative journalist. He didn't mean to be - it was just an accident. But, as William fills his pages with reports of local club meetings and pictures of humorously shaped vegetables, dark forces high up in Ankh-Morpork's society are plotting to overthrow the city's ruler, Lord Vetinari."
Thief of Time,48002,"Thief of Time (Discworld, #26; Death, #5)",2001,378,4.23,53500,5:28260|4:22869|3:9168|2:1445|1:567|total:62309,9780061031328,HarperTorch,https://www.goodreads.com/book/show/48002.Thief_of_Time,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"Time is a resource. Everyone knows it has to be managed.<br />And on Discworld that is the job of the Monks of History, who store it and pump it from the places where it's wasted (like underwater -- how much time does a codfish need?) to places like cities, where there's never enough time.<br />But the construction of the world's first truly accurate clock starts a race against, well, time, for Lu Tze and his apprentice Lobsang Ludd. Because it will stop time. And that will only be the start of everyone's problems.<br />Thief of Time comes complete with a full supporting cast of heroes and villains, yetis, martial artists and Ronnie, the fifth Horseman of the Apocalypse (who left before they became famous)."
The Last Hero,34503,The Last Hero (Discworld #27; Rincewind #7),2001,176,4.18,27251,5:12806|4:11752|3:5751|2:699|1:64|total:31072,9780060507770,Harper Voyager,https://www.goodreads.com/book/show/34503.The_Last_Hero,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"Cohen the Barbarian. He's been a legend in his own lifetime.<br />He can remember the good old days of high adventure, when being a Hero meant one didn't have to worry about aching backs and lawyers and civilization. But these days, he can't always remember just where he put his teeth...So now, with his ancient (yet still trusty) sword and new walking stick in hand, Cohen gathers a group of his old -- very old -- friends to embark on one final quest. He's going to climb the highest mountain of Discworld and meet the gods.It's time the Last Hero in the world returns what the first hero stole. Trouble is, that'll mean the end of the world, if no one stops him in time."
The Amazing Maurice and his Educated Rodents,34534,"The Amazing Maurice and His Educated Rodents (Discworld, #28)",2001,256,4.02,33073,5:14290|4:15517|3:8413|2:1645|1:626|total:40491,9780060012342,HarperCollins,https://www.goodreads.com/book/show/34534.The_Amazing_Maurice_and_His_Educated_Rodents,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"<b>The Barnes &amp; Noble Review</b><br />With the debut of his first young-adult novel, science fiction writer Terry Pratchett invites readers ages 12 and up to visit Discworld -- an imaginary land well known to Pratchett's adult following. At the heart of this tale is a slightly twisted take on the old Pied Piper theme, a talking, thinking cat named Maurice, and a supporting cast of equally talented rats who bear such comical names as Big Savings, Nourishing, and Dangerous Beans. <br /><p><br />Maurice and the rats have teamed up with a young lad named Keith to implement a clever moneymaking scheme. Upon entering a town, the rats make a general nuisance of themselves -- stealing food and widdling on things -- until the townsfolk become desperate to get rid of them. Then Maurice and Keith appear on the scene and offer to save the day by ridding the town of its infestation for a small fee. It seems like a surefire plan until the group arrives in the town of Bad Blintz and gets hooked up with Malicia, a young girl with a vivid imagination and a knack for finding trouble. When it's discovered that Bad Blintz already has a rat problem -- one that a couple of shifty-eyed rat catchers claim to have under control -- things turn deadly. For lurking beneath the town's streets is an obstacle course of mangling rattraps and noxious poisons. And beyond that is a monster so powerful and ugly, even Malicia couldn't imagine it. <br /></p><p><br />As Maurice and the rats battle for their very survival, a number of provocative themes surface: life after death, good versus evil, and the sacrifice of the few for the many. But be forewarned -- those in search of lighter fare in these troubled times may not find what they are looking for in Pratchett's vision Despite plenty of razor-sharp wit and lighthearted moments, this tale has an underbelly as dark as the tunnels beneath Bad Blintz. Though <i>The Amazing Maurice and His Educated Rodents</i> is deeply witty and engaging, some readers may find parts of the story -- descriptions of how some of the rats die and how others eat their dead -- rather intense. <i>(Beth Amos)</i></p>"
Night Watch,47989,"Night Watch (Discworld, #29; City Watch, #6)",2002,,4.5,82956,5:57359|4:28039|3:7942|2:837|1:299|total:94476,9780552154307,,https://www.goodreads.com/book/show/47989.Night_Watch,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320518310l/47989._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320518310l/47989._SY75_.jpg,"<i>'Don't put your trust in revolutions. They always come round again. That's why they're called revolutions. People die, and nothing changes.'</i><br /><br />For a policeman, there can be few things worse than a serial killer at loose in your city. Except, perhaps, a serial killer who targets coppers, and a city on the brink of bloody revolution. The people have found their voice at last, the flags and barricades are rising...And the question for a policeman, an officer of the law, a defender of the peace, is:<br /><br />Are you with them, or are you against them?"
The Wee Free Men,34494,"The Wee Free Men (Discworld, #30; Tiffany Aching, #1)",2003,375,4.26,82550,5:46214|4:31611|3:13194|2:2610|1:1151|total:94780,9780060012380,HarperTrophy,https://www.goodreads.com/book/show/34494.The_Wee_Free_Men,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1443764106l/34494._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1443764106l/34494._SY75_.jpg,"<i>Librarian's Note: For an alternate cover edition of the same ISBN, click <a href=""https://www.goodreads.com/book/show/26227981-the-wee-free-men"" rel=""nofollow noopener"">here</a>.</i><br /><br /><i>""Another world is colliding with this one,"" said the toad. ""All the monsters are coming back.""<br /><br />""Why?"" said Tiffany.<br /><br />""There's no one to stop them.""<br /><br />There was silence for a moment.<br /><br />Then Tiffany said, ""There's me.""</i><br /><br />Armed only with a frying pan and her common sense, Tiffany Aching, a young witch-to-be, is all that stands between the monsters of Fairyland and the warm, green Chalk country that is her home. Forced into Fairyland to seek her kidnapped brother, Tiffany allies herself with the Chalk's local Nac Mac Feegle - aka the Wee Free Men - a clan of sheep-stealing, sword-wielding, six-inch-high blue men who are as fierce as they are funny. Together they battle through an eerie and ever-shifting landscape, fighting brutal flying fairies, dream-spinning dromes, and grimhounds - black dogs with eyes of fire and teeth of razors - before ultimately confronting the Queen of the Elves, absolute ruler of a world in which reality intertwines with nightmare. And in the final showdown, Tiffany must face her cruel power alone...<br /><br />In a riveting narrative that is equal parts suspense and humor, Carnegie Medalist Terry Pratchett returns to his internationally popular Discworld with a breathtaking tale certain to leave fans, new and old, enthralled."
